Store,Item,Allocation
1,Bracket,0
1,Brush,0
1,Cereal,0
1,Ear Buds,2
1,Eggs,0
1,Glue,0
1,Keyboard,2
1,King Crab,1
1,Milk,0
1,Mouse,1
1,Nails,0
1,Noodles,2
1,Paint,0
1,Phone Charger,2
1,Power Cord,1
1,Shrimp,5
1,Steak,2
1,Tape,0
2,Bracket,0
2,Brush,0
2,Cereal,0
2,Ear Buds,2
2,Eggs,0
2,Glue,0
2,Keyboard,2
2,King Crab,1
2,Milk,0
2,Mouse,1
2,Nails,0
2,Noodles,2
2,Paint,0
2,Phone Charger,2
2,Power Cord,1
2,Shrimp,2
2,Steak,1
2,Tape,0
3,Bracket,0
3,Brush,0
3,Cereal,2
3,Ear Buds,2
3,Eggs,0
3,Glue,1
3,Keyboard,4
3,King Crab,4
3,Milk,0
3,Mouse,1
3,Nails,0
3,Noodles,10
3,Paint,1
3,Phone Charger,2
3,Power Cord,1
3,Shrimp,17
3,Steak,6
3,Tape,0
4,Bracket,0
4,Brush,0
4,Cereal,1
4,Ear Buds,2
4,Eggs,0
4,Glue,0
4,Keyboard,2
4,King Crab,2
4,Milk,0
4,Mouse,1
4,Nails,0
4,Noodles,5
4,Paint,1
4,Phone Charger,2
4,Power Cord,1
4,Shrimp,11
4,Steak,4
4,Tape,0
5,Bracket,0
5,Brush,0
5,Cereal,1
5,Ear Buds,2
5,Eggs,0
5,Glue,0
5,Keyboard,2
5,King Crab,2
5,Milk,0
5,Mouse,1
5,Nails,0
5,Noodles,5
5,Paint,1
5,Phone Charger,2
5,Power Cord,1
5,Shrimp,11
5,Steak,4
5,Tape,0
6,Bracket,0
6,Brush,0
6,Cereal,0
6,Ear Buds,2
6,Eggs,0
6,Glue,0
6,Keyboard,2
6,King Crab,1
6,Milk,0
6,Mouse,1
6,Nails,0
6,Noodles,2
6,Paint,0
6,Phone Charger,2
6,Power Cord,1
6,Shrimp,4
6,Steak,2
6,Tape,0
7,Bracket,0
7,Brush,0
7,Cereal,0
7,Ear Buds,2
7,Eggs,0
7,Glue,0
7,Keyboard,2
7,King Crab,1
7,Milk,0
7,Mouse,1
7,Nails,0
7,Noodles,2
7,Paint,0
