Store,Item,Allocation
1,Bracket,0
1,Brush,0
1,Cereal,3
1,Ear Buds,7
1,Eggs,3
1,Glue,0
1,Keyboard,8
1,King Crab,6
1,Milk,3
1,Mouse,3
1,Nails,3
1,Noodles,9
1,Paint,0
1,Phone Charger,9
1,Power Cord,3
1,Shrimp,13
1,Steak,8
1,Tape,0
2,Bracket,0
2,Brush,0
2,Cereal,3
2,Ear Buds,7
2,Eggs,3
2,Glue,0
2,Keyboard,9
2,King Crab,5
2,Milk,2
2,Mouse,3
2,Nails,2
2,Noodles,9
2,Paint,0
2,Phone Charger,8
2,Power Cord,2
2,Shrimp,10
2,Steak,6
2,Tape,0
3,Bracket,2
3,Brush,0
3,Cereal,9
3,Ear Buds,9
3,Eggs,9
3,Glue,2
3,Keyboard,11
3,King Crab,12
3,Milk,6
3,Mouse,3
3,Nails,1
3,Noodles,22
3,Paint,1
3,Phone Charger,9
3,Power Cord,3
3,Shrimp,32
3,Steak,17
3,Tape,1
4,Bracket,0
4,Brush,0
4,Cereal,6
4,Ear Buds,9
4,Eggs,6
4,Glue,0
4,Keyboard,9
4,King Crab,9
4,Milk,6
4,Mouse,3
4,Nails,1
4,Noodles,13
4,Paint,1
4,Phone Charger,9
4,Power Cord,3
4,Shrimp,26
4,Steak,12
4,Tape,0
5,Bracket,0
5,Brush,0
5,Cereal,6
5,Ear Buds,9
5,Eggs,6
5,Glue,0
5,Keyboard,9
5,King Crab,9
5,Milk,6
5,Mouse,3
5,Nails,1
5,Noodles,13
5,Paint,1
5,Phone Charger,9
5,Power Cord,3
5,Shrimp,26
5,Steak,12
5,Tape,0
6,Bracket,1
6,Brush,0
6,Cereal,3
6,Ear Buds,9
6,Eggs,3
6,Glue,0
6,Keyboard,9
6,King Crab,6
6,Milk,3
6,Mouse,3
6,Nails,0
6,Noodles,9
6,Paint,0
6,Phone Charger,9
6,Power Cord,3
6,Shrimp,12
6,Steak,8
6,Tape,0
7,Bracket,1
7,Brush,0
7,Cereal,3
7,Ear Buds,9
7,Eggs,3
7,Glue,0
7,Keyboard,10
7,King Crab,6
7,Milk,3
7,Mouse,3
7,Nails,1
7,Noodles,9
7,Paint,0
